iter	Passed	Remaining
908	1898	190
909	1900	187
910	1902	185
911	1904	183
912	1906	181
913	1908	179
914	1910	177
915	1912	175
916	1914	173
917	1916	171
918	1918	169
919	1920	167
920	1922	164
921	1925	162
922	1927	160
923	1929	158
924	1931	156
925	1933	154
926	1935	152
927	1937	150
928	1939	148
929	1941	146
930	1943	144
931	1945	141
932	1947	139
933	1949	137
934	1951	135
935	1953	133
936	1955	131
937	1957	129
938	1959	127
939	1961	125
940	1964	123
941	1966	121
942	1968	118
943	1970	116
944	1972	114
945	1974	112
946	1976	110
947	1978	108
948	1980	106
949	1983	104
950	1985	102
951	1986	100
952	1988	98
953	1991	96
954	1993	93
955	1995	91
956	1997	89
957	1999	87
958	2001	85
959	2003	83
960	2005	81
961	2007	79
962	2010	77
963	2011	75
964	2014	73
965	2016	70
966	2018	68
967	2020	66
968	2022	64
969	2024	62
970	2026	60
971	2028	58
972	2030	56
973	2032	54
974	2034	52
975	2037	50
976	2039	48
977	2041	45
978	2043	43
979	2045	41
980	2047	39
981	2049	37
982	2051	35
983	2053	33
984	2055	31
985	2057	29
986	2059	27
987	2061	25
988	2063	22
989	2065	20
990	2067	18
991	2069	16
992	2071	14
993	2073	12
994	2075	10
995	2077	8
996	2080	6
997	2082	4
998	2084	2
999	2086	0
